name,downloads
openstacksdk,6245
coincurve,6210
pyaml,6179
parsel,6153
queuelib,6152
waitress,6150
dropbox,6113
keyring,6106
osc-lib,6088
applicationinsights,6088
py4j,6087
wtforms,6077
marshmallow,6041
repoze-lru,6031
freezegun,6004
w3lib,5982
graphql-example,5938
apipkg,5936
sphinx-rtd-theme,5918
django-cors-headers,5901
pyserial,5898
lz4,5898
enum,5867
python-glanceclient,5856
python-levenshtein,5838
factory-boy,5805
xgboost,5764
text-unidecode,5754
easylda,5750
cookies,5725
pyodbc,5721
pyperclip,5691
django-debug-toolbar,5686
argh,5681
loggly-python-handler,5666
maxminddb,5658
stripe,5658
scrapy,5655
parsedatetime,5650
pathspec,5600
xlsxwriter,5599
google-cloud-pubsub,5580
semantic-version,5566
atx,5550
configargparse,5541
requests-mock,5522
kafka-python,5505
flask-cors,5492
flask-login,5485
flexget,5478
webtest,5473
moto,5461
pydispatcher,5429
python-cinderclient,5382
pytest-xdist,5374
statsmodels,5367
gensim,5325
flask-wtf,5324
os-service-types,5310
geoip2,5308
paste,5244
gecosistema-lite,5232
lore,5206
flask-script,5206
extras,5205
gcloud,5162
virtualenv-clone,5154
yarl,5153
testtools,5137
gapic-google-cloud-datastore-v1,5105
s3cmd,5095
epab,5070
more-itertools,5052
django-storages,5050
python-slugify,5046
colorlog,5045
argcomplete,5044
proto-google-cloud-logging-v2,4973
python-openstackclient,4966
async-timeout,4958
geopy,4950
fixtures,4938
toolz,4936
pyhamcrest,4928
user-agents,4922
xlwt,4921
ez,4878
warlock,4866
pastedeploy,4813
watchdog,4802
pysocks,4801
python-geohash,4772
youtube-dl,4760
pathtools,4753
grpc-google-iam-v1,4749
bottle,4731
azure-mgmt-compute,4731
pathlib,4724
suds-jurko,4717
coveralls,4707
adal,4702
slackclient,4652
python-jenkins,4623
avro,4558
sirepo,4557
graphviz,4555
taskcluster,4522
bs4,4516
multi-key-dict,4507
python-logstash,4506
slugid,4488
coala-bears,4444
pyhawk-with-a-single-extra-commit,4440
gcdt-bundler,4419
ipdb,4408
tf-nightly,4398
msrest,4369
acme,4333
sh,4332
flask-migrate,4329
autopep8,4290
haversine,4273
requests-file,4245
phonenumbers,4244
influxdb,4209
python-subunit,4192
httpretty,4172
theano,4167
pycurl,4165
oslo-log,4137
setproctitle,4136
humanfriendly,4119
msrestazure,4099
dicttoxml,4065
scikit-image,4041
django-cheetahtemplate,4039
pyrfc3339,4035
oslo-context,4028
pywavelets,4027
coreapi,4015
dateparser,3988
google-cloud,3986
venusian,3982
pytest-django,3938
tensorflow-gpu,3928
azure-mgmt-resource,3902
google-apitools,3896
hiredis,3891
parse,3880
altgraph,3876
jardin,3857
josepy,3851
oslo-concurrency,3843
certbot,3840
azure-mgmt-storage,3831
minorminer,3829
python-gflags,3814
